x,y,z
328,136,78
330,175,78
339,207,78
332,192,78
321,103,96
318,135,96
338,223,96
328,197,96
310,114,96
300,103,116
301,125,116
338,234,116
289,92,136
293,107,136
279,132,136
279,87,155
267,136,155
260,102,196
232,102,185
232,175,192
253,103,203
184,174,203
206,128,194
257,97,200
261,97,156
252,146,230
249,154,189
249,155,271
262,129,231
281,118,220
301,107,220
322,111,216
355,94,163
375,108,143
243,167,229
215,117,271
217,191,266
217,155,265
228,106,277
228,181,267
228,139,269
248,102,291
301,102,344
271,102,319
281,118,238
276,126,242
280,117,272
199,136,262
273,136,311
328,233,346
328,184,387
333,95,271
333,95,190
319,109,244
293,100,334
180,169,258
242,169,266
242,169,195
242,132,278
242,104,288
243,168,230
371,105,312
